num_facilities,overall_rating,rn_hours_total,staff_turnover_pct,total_fines,total_payment_denials,hosp_per_1000_residents,falls_with_injury,pressure_ulcers,uti_pct,catheter_pct,mobility_decline_pct,restrained_pct,incontinence_pct,weight_loss_pct,depression_pct
44.0,2.3,0.5,50.4,73.0,6.0,1.8,3.5,5.9,1.0,0.8,18.1,0.0,24.1,7.0,2.6
12.0,2.0,0.5,50.8,7.0,2.0,1.4,3.5,3.5,0.4,0.1,5.1,0.0,20.9,8.0,20.6
6.0,4.8,1.0,33.7,7.0,0.0,1.2,2.3,2.2,0.3,1.0,12.1,0.0,13.3,7.4,0.7
12.0,2.4,0.6,52.0,15.0,1.0,1.7,3.9,5.4,1.4,0.6,20.9,0.0,24.6,8.4,7.7
8.0,4.4,1.2,39.6,3.0,2.0,1.8,4.0,6.7,2.4,0.4,15.7,0.0,21.0,6.4,0.9
8.0,2.6,0.7,53.0,12.0,1.0,1.7,4.0,4.0,1.4,0.3,14.0,0.0,20.2,3.5,7.6
7.0,3.1,0.7,51.7,5.0,1.0,2.3,6.3,6.1,0.4,0.1,3.0,0.0,26.7,7.1,13.9
6.0,2.5,0.4,37.6,8.0,3.0,3.1,1.1,3.3,0.5,0.2,6.8,0.0,6.2,4.3,15.3
24.0,2.8,0.6,40.2,14.0,0.0,2.1,1.9,3.8,0.9,0.6,12.4,0.0,14.1,3.8,7.0
11.0,3.6,1.2,41.6,14.0,2.0,1.8,4.0,3.7,2.0,0.8,29.5,0.0,28.3,5.5,2.2
15.0,4.4,1.1,36.6,5.0,1.0,1.5,3.5,6.1,2.5,1.0,24.4,0.0,25.2,5.9,2.3
149.0,2.6,0.4,51.6,256.0,25.0,2.2,3.7,4.6,0.6,0.1,15.1,0.0,15.5,2.9,2.0
13.0,1.8,0.5,54.6,28.0,12.0,2.2,4.4,5.4,1.0,0.6,13.7,0.2,28.2,8.5,60.6
6.0,2.8,0.5,29.4,4.0,1.0,2.1,4.5,5.2,4.8,2.5,12.7,1.3,5.8,4.1,1.6
6.0,3.2,0.3,71.7,4.0,0.0,2.2,2.1,5.0,0.8,0.4,8.4,0.0,20.2,3.6,1.5
6.0,2.8,0.6,46.5,6.0,0.0,2.1,3.7,5.1,3.5,1.8,21.5,0.0,17.2,6.0,4.9
9.0,1.9,0.5,53.4,5.0,2.0,1.7,2.5,3.9,0.3,0.2,6.5,0.0,23.8,7.7,38.0
18.0,4.2,0.7,39.3,2.0,1.0,2.0,3.2,5.8,4.4,2.4,16.9,0.2,9.9,5.6,0.5
10.0,2.6,0.4,40.2,8.0,2.0,2.5,1.4,5.0,0.7,0.5,13.0,0.4,8.8,4.2,9.0
13.0,3.5,0.6,39.1,8.0,0.0,2.0,1.4,4.9,0.5,0.6,10.8,0.0,12.5,3.6,1.8
8.0,1.8,0.3,68.6,8.0,1.0,2.0,2.8,5.9,1.8,0.8,24.6,0.0,22.0,5.6,1.2
2.0,3.5,0.8,45.0,2.0,0.0,2.1,2.7,8.6,6.9,5.9,15.5,0.0,14.5,3.2,9.9
45.0,3.1,0.5,33.5,40.0,3.0,2.5,1.2,4.7,0.7,0.3,7.2,0.0,7.1,2.6,8.7
10.0,2.1,0.6,51.1,10.0,4.0,2.3,3.5,4.0,0.8,0.1,5.5,0.0,20.9,7.5,35.1
7.0,1.4,0.5,62.4,8.0,6.0,2.2,2.9,4.7,0.2,0.1,6.4,0.0,20.6,8.4,54.8
5.0,3.4,0.4,51.7,6.0,0.0,2.9,2.8,7.6,1.4,0.6,18.7,0.0,19.4,5.2,0.1
14.0,2.9,0.4,47.8,14.0,3.0,2.5,3.8,5.2,3.5,1.2,20.1,0.0,18.2,7.1,1.7
7.0,2.3,0.4,77.7,6.0,2.0,1.9,3.6,5.8,1.9,1.3,18.1,0.0,19.6,1.6,1.0
5.0,3.8,0.8,29.9,4.0,0.0,1.9,4.2,3.5,3.5,1.6,21.7,0.3,19.1,5.6,1.6
45.0,2.4,0.6,45.9,39.0,7.0,1.9,3.3,6.4,1.5,0.7,14.4,0.0,19.5,5.5,2.0
9.0,2.2,0.5,54.3,7.0,5.0,1.8,3.3,2.9,0.3,0.2,6.1,0.0,20.9,5.7,64.8
11.0,3.3,1.0,54.0,9.0,2.0,1.9,3.2,5.3,1.8,2.9,17.9,0.0,25.5,3.5,8.4
5.0,2.6,0.8,62.7,11.0,1.0,1.6,2.6,5.2,0.6,0.6,14.2,0.0,13.6,4.3,3.3
17.0,1.3,0.4,57.5,31.0,1.0,1.8,3.3,5.5,1.3,0.5,20.5,0.0,24.5,5.6,25.8
6.0,3.0,2.2,33.0,3.0,0.0,1.9,2.6,7.6,2.0,0.7,32.2,0.0,27.6,5.3,7.1
3.0,3.7,0.6,45.4,1.0,1.0,2.6,4.5,3.5,1.9,0.5,16.2,0.0,17.3,6.1,1.7
6.0,1.5,0.5,61.9,10.0,3.0,2.1,3.3,6.0,1.9,0.7,18.2,0.1,25.6,5.5,1.0
